id,skill_count,interest_count,domain_count,project_count,project_technology_count,hackathons_participated,hackathons_won,github_repos,github_commits,github_stars,github_followers,profile_completion,skills_text,interests_text,domains_text,projects_text,profile_text,branch_aerospace_engineering,branch_agricultural_engineering,branch_architecture,branch_artificial_intelligence_and_data_science,branch_artificial_intelligence_and_machine_learning,branch_automobile_engineering,branch_biomedical_engineering,branch_biotechnology,branch_chemical_engineering,branch_civil_engineering,branch_computer_science_engineering,branch_cyber_security,branch_data_science,branch_electrical_engineering,branch_electronics_and_communication_engineering,branch_fashion_technology,branch_industrial_engineering,branch_information_technology,branch_instrumentation_engineering,branch_mba,branch_mca,branch_mechanical_engineering,branch_mechatronics,branch_robotics,year_1st_year,year_2nd_year,year_3rd_year,year_4th_year,status_in_team,status_looking_for_members,status_looking_for_team,status_offline,status_open_to_invites
b4c077d2-148e-42f9-bc80-1515091459a8,8,4,2,4,11,0,0,11,434,0,22,72,"JavaScript, Git, C++, Java, PostgreSQL, TypeScript, Kubernetes, Problem Solving","Thermal Systems, Synthetic Biology, Robotics, Hydroponics","Logistics, Mechanical","Project: Microservice Telemetry Mesh. Desc: Observability suite with metrics tracing and fault injection for web microservices. (Tech: Go, Docker, PostgreSQL, Prometheus) | Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React) | Project: Low-Latency Micro-Ledger. Desc: High-throughput audit transaction engine with cryptographic proofs. (Tech: Rust, PostgreSQL, Docker)","Bio: Computer Science Engineering student at GCT passionate about Thermal Systems and Synthetic Biology.. Branch: Computer Science Engineering. Year: 2nd Year. Skills: JavaScript, Git, C++, Java, PostgreSQL, TypeScript, Kubernetes, Problem Solving. Interests: Thermal Systems, Synthetic Biology, Robotics, Hydroponics. Domains: Logistics, Mechanical. Projects: Project: Microservice Telemetry Mesh. Desc: Observability suite with metrics tracing and fault injection for web microservices. (Tech: Go, Docker, PostgreSQL, Prometheus) | Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React) | Project: Low-Latency Micro-Ledger. Desc: High-throughput audit transaction engine with cryptographic proofs. (Tech: Rust, PostgreSQL, Docker)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
389062fe-a5c8-4f8d-ab5a-72f522fa00fa,10,5,3,2,7,4,1,11,379,43,11,78,"Docker, TypeScript, Python, FastAPI, Java, JavaScript, Git, Kubernetes, Communication, Ideation","FinTech, Automation, Defence, Bioinformatics, Quantum Computing","Aerospace, Cybersecurity, Logistics","Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React)","Bio: Building sustainable and scalable solutions in FinTech. 4th Year at GCT.. Branch: Computer Science Engineering. Year: 4th Year. Skills: Docker, TypeScript, Python, FastAPI, Java, JavaScript, Git, Kubernetes, Communication, Ideation. Interests: FinTech, Automation, Defence, Bioinformatics, Quantum Computing. Domains: Aerospace, Cybersecurity, Logistics. Projects: Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8d64530c-b109-44d6-898f-58a15a3429d0,10,6,3,4,11,1,1,28,368,27,78,91,"Python, JavaScript, Git, React, Node.js, C++, Docker, Java, Team Leadership, Rapid Prototyping","Precision Agriculture, Wearable Tech, Nanotechnology, Manufacturing, Gaming, Hydrology","EdTech, AI/ML, FinTech","Project: Low-Latency Micro-Ledger. Desc: High-throughput audit transaction engine with cryptographic proofs. (Tech: Rust, PostgreSQL, Docker) | Project: Microservice Telemetry Mesh. Desc: Observability suite with metrics tracing and fault injection for web microservices. (Tech: Go, Docker, PostgreSQL, Prometheus) | Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React)","Bio: Interested in Precision Agriculture, Wearable Tech, and Nanotechnology. Active hackathon builder.. Branch: Computer Science Engineering. Year: 2nd Year. Skills: Python, JavaScript, Git, React, Node.js, C++, Docker, Java, Team Leadership, Rapid Prototyping. Interests: Precision Agriculture, Wearable Tech, Nanotechnology, Manufacturing, Gaming, Hydrology. Domains: EdTech, AI/ML, FinTech. Projects: Project: Low-Latency Micro-Ledger. Desc: High-throughput audit transaction engine with cryptographic proofs. (Tech: Rust, PostgreSQL, Docker) | Project: Microservice Telemetry Mesh. Desc: Observability suite with metrics tracing and fault injection for web microservices. (Tech: Go, Docker, PostgreSQL, Prometheus) | Project: Realtime Collaborative IDE. Desc: In-browser multi-user IDE supporting live operational transformation. (Tech: TypeScript, Node.js, WebSockets, React) | Project: Cloud Native Compiler Platform. Desc: Distributed remote code execution engine with container sandbox isolation. (Tech: Python, Docker, Kubernetes, React)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
dd0434a4-56fe-447b-b4a9-5d07504606b3,9,5,3,1,3,1,0,4,143,36,12,91,"Python, Vue.js, MySQL, React, Angular, Java, MongoDB, Tailwind CSS, Communication","NLP, Embedded Systems, Avionics, Artificial Intelligence, High Performance Computing","Design, Web, FinTech","Project: Peer-to-Peer Notes Sharing Network. Desc: Decentralized file-sharing network for academic study materials. (Tech: Node.js, MongoDB, React)","Bio: Information Technology student at NIT Trichy passionate about NLP and Embedded Systems.. Branch: Information Technology. Year: 1st Year. Skills: Python, Vue.js, MySQL, React, Angular, Java, MongoDB, Tailwind CSS, Communication. Interests: NLP, Embedded Systems, Avionics, Artificial Intelligence, High Performance Computing. Domains: Design, Web, FinTech. Projects: Project: Peer-to-Peer Notes Sharing Network. Desc: Decentralized file-sharing network for academic study materials. (Tech: Node.js, MongoDB, React)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
075a80d5-043a-4b43-bdea-b48fad26e8ff,9,4,4,2,4,0,0,0,0,0,0,86,"AWS, REST API, MySQL, Angular, Vue.js, Express.js, Python, Rapid Prototyping, Presentation","Agritech, Microelectronics, Generative AI, Digital Twins","IoT, Logistics, Web, AI/ML","Project: Campus Smart Resource Portal. Desc: Centralized platform for equipment booking, library tracking, and hall scheduling. (Tech: React, Express.js, MongoDB, Node.js) | Project: Peer-to-Peer Notes Sharing Network. Desc: Decentralized file-sharing network for academic study materials. (Tech: Node.js, MongoDB, React)","Bio: Building sustainable and scalable solutions in Agritech. 3rd Year at NIT Trichy.. Branch: Information Technology. Year: 3rd Year. Skills: AWS, REST API, MySQL, Angular, Vue.js, Express.js, Python, Rapid Prototyping, Presentation. Interests: Agritech, Microelectronics, Generative AI, Digital Twins. Domains: IoT, Logistics, Web, AI/ML. Projects: Project: Campus Smart Resource Portal. Desc: Centralized platform for equipment booking, library tracking, and hall scheduling. (Tech: React, Express.js, MongoDB, Node.js) | Project: Peer-to-Peer Notes Sharing Network. Desc: Decentralized file-sharing network for academic study materials. (Tech: Node.js, MongoDB, React)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2434dd7a-db32-4b60-8025-8a694d181b79,8,5,4,0,0,3,0,9,117,34,59,77,"AWS, React, MongoDB, Angular, MySQL, Tailwind CSS, Team Leadership, Problem Solving","Supply Chain, Assistive Tech, Sustainable Materials, Blockchain, Autonomous Driving","FinTech, AI/ML, Civil, Aerospace",,"Bio: Interested in Supply Chain, Assistive Tech, and Sustainable Materials. Active hackathon builder.. Branch: Information Technology. Year: 1st Year. Skills: AWS, React, MongoDB, Angular, MySQL, Tailwind CSS, Team Leadership, Problem Solving. Interests: Supply Chain, Assistive Tech, Sustainable Materials, Blockchain, Autonomous Driving. Domains: FinTech, AI/ML, Civil, Aerospace. Projects:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
c2340382-6c27-4270-9883-0b8b961fe8c0,5,4,2,2,7,4,0,25,394,35,64,93,"Python, Prompt Engineering, Tableau, R, Team Leadership","Wearable Tech, Healthcare, Cloud Computing, Bioinformatics","Civil, CleanTech","Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas) | Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI)","Bio: Artificial Intelligence & Data Science student at SASTRA passionate about Wearable Tech and Healthcare.. Branch: Artificial Intelligence & Data Science. Year: 4th Year. Skills: Python, Prompt Engineering, Tableau, R, Team Leadership. Interests: Wearable Tech, Healthcare, Cloud Computing, Bioinformatics. Domains: Civil, CleanTech. Projects: Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas) | Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
a9e6c11c-3ef9-49c5-89a2-63fe46ab235c,4,3,3,3,9,2,0,0,0,0,0,82,"Python, SQL, NLP, Problem Solving","High Performance Computing, Agritech, Web3","FinTech, IoT, AI/ML","Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas) | Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI) | Project: Customer Churn Predictive Pipeline. Desc: End-to-end data pipeline feeding retention forecasters. (Tech: Python, Tableau, SQL, R)","Bio: Building sustainable and scalable solutions in High Performance Computing. 2nd Year at PSG Tech.. Branch: Artificial Intelligence & Data Science. Year: 2nd Year. Skills: Python, SQL, NLP, Problem Solving. Interests: High Performance Computing, Agritech, Web3. Domains: FinTech, IoT, AI/ML. Projects: Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas) | Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI) | Project: Customer Churn Predictive Pipeline. Desc: End-to-end data pipeline feeding retention forecasters. (Tech: Python, Tableau, SQL, R)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
e74cd5e6-4aad-460f-9ec1-a6eac48a4a58,12,5,4,3,9,2,0,0,0,0,0,89,"Scikit-Learn, R, Python, NLP, Pandas, OpenCV, Prompt Engineering, Tableau, PyTorch, TensorFlow, Team Leadership, Presentation","NLP, Social Impact, Embedded Systems, Logistics, Telemedicine","Product, Web, EV, Biotech","Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI) | Project: Customer Churn Predictive Pipeline. Desc: End-to-end data pipeline feeding retention forecasters. (Tech: Python, Tableau, SQL, R) | Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas)","Bio: Interested in NLP, Social Impact, and Embedded Systems. Active hackathon builder.. Branch: Artificial Intelligence & Data Science. Year: 4th Year. Skills: Scikit-Learn, R, Python, NLP, Pandas, OpenCV, Prompt Engineering, Tableau, PyTorch, TensorFlow, Team Leadership, Presentation. Interests: NLP, Social Impact, Embedded Systems, Logistics, Telemedicine. Domains: Product, Web, EV, Biotech. Projects: Project: Automated Medical Image Classifier. Desc: Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets. (Tech: Python, PyTorch, OpenCV, FastAPI) | Project: Customer Churn Predictive Pipeline. Desc: End-to-end data pipeline feeding retention forecasters. (Tech: Python, Tableau, SQL, R) | Project: Financial Fraud Detector. Desc: Real-time stream transaction anomaly classification using ensemble models. (Tech: Python, Scikit-Learn, SQL, Pandas)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
88b163f6-0154-462a-85b1-8dccb2071ff2,9,6,4,2,8,0,0,0,0,0,0,98,"LlamaIndex, HuggingFace, LangChain, Python, CrewAI, RAG, Deep Learning, Problem Solving, Communication","Micro-Mobility, Supply Chain, Hydroponics, Machine Learning, ClimateTech, EdTech","Healthcare, AI/ML, Aerospace, EV","Project: Agentic Research Assistant. Desc: Autonomous multi-agent system summarizing research papers into structured graphs. (Tech: Python, LangChain, Agentic AI, RAG, CrewAI) | Project: Local Multi-Modal RAG Engine. Desc: Privacy-focused document Q&A runner using local quantized LLMs. (Tech: Python, LlamaIndex, Vector Embeddings, HuggingFace)","Bio: Artificial Intelligence & Machine Learning student at MIT Chennai passionate about Micro-Mobility and Supply Chain.. Branch: Artificial Intelligence & Machine Learning. Year: 3rd Year. Skills: LlamaIndex, HuggingFace, LangChain, Python, CrewAI, RAG, Deep Learning, Problem Solving, Communication. Interests: Micro-Mobility, Supply Chain, Hydroponics, Machine Learning, ClimateTech, EdTech. Domains: Healthcare, AI/ML, Aerospace, EV. Projects: Project: Agentic Research Assistant. Desc: Autonomous multi-agent system summarizing research papers into structured graphs. (Tech: Python, LangChain, Agentic AI, RAG, CrewAI) | Project: Local Multi-Modal RAG Engine. Desc: Privacy-focused document Q&A runner using local quantized LLMs. (Tech: Python, LlamaIndex, Vector Embeddings, HuggingFace)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
