project_id,project_name,project_text,explicit_skills,extracted_skills,required_skills,required_skill_count
proj_0001,Microservice Telemetry Mesh,Microservice Telemetry Mesh. Observability suite with metrics tracing and fault injection for web microservices.. Role: Software Engineer.,"[""Docker"", ""Go"", ""PostgreSQL"", ""Prometheus""]","[""Microservices"", ""Observability"", ""Software Engineer"", ""Telemetry""]","[""Docker"", ""Go"", ""Microservices"", ""Observability"", ""PostgreSQL"", ""Prometheus"", ""Software Engineer"", ""Telemetry""]",8
proj_0002,Realtime Collaborative IDE,Realtime Collaborative IDE. In-browser multi-user IDE supporting live operational transformation.. Role: Software Engineer.,"[""Node.js"", ""React"", ""TypeScript"", ""WebSockets""]","[""Operational Transformation"", ""Software Engineer""]","[""Node.js"", ""Operational Transformation"", ""React"", ""Software Engineer"", ""TypeScript"", ""WebSockets""]",6
proj_0003,Cloud Native Compiler Platform,Cloud Native Compiler Platform. Distributed remote code execution engine with container sandbox isolation.. Role: Software Engineer.,"[""Docker"", ""Kubernetes"", ""Python"", ""React""]","[""Container Sandbox"", ""Remote Code Execution"", ""Software Engineer""]","[""Container Sandbox"", ""Docker"", ""Kubernetes"", ""Python"", ""React"", ""Remote Code Execution"", ""Software Engineer""]",7
proj_0004,Low-Latency Micro-Ledger,Low-Latency Micro-Ledger. High-throughput audit transaction engine with cryptographic proofs.. Role: Software Engineer.,"[""Docker"", ""PostgreSQL"", ""Rust""]","[""Cryptographic Proofs"", ""Software Engineer""]","[""Cryptographic Proofs"", ""Docker"", ""PostgreSQL"", ""Rust"", ""Software Engineer""]",5
proj_0005,Realtime Collaborative IDE,Realtime Collaborative IDE. In-browser multi-user IDE supporting live operational transformation.. Role: Software Engineer.,"[""Node.js"", ""React"", ""TypeScript"", ""WebSockets""]","[""Operational Transformation"", ""Software Engineer""]","[""Node.js"", ""Operational Transformation"", ""React"", ""Software Engineer"", ""TypeScript"", ""WebSockets""]",6
proj_0006,Cloud Native Compiler Platform,Cloud Native Compiler Platform. Distributed remote code execution engine with container sandbox isolation.. Role: Software Engineer.,"[""Docker"", ""Kubernetes"", ""Python"", ""React""]","[""Container Sandbox"", ""Remote Code Execution"", ""Software Engineer""]","[""Container Sandbox"", ""Docker"", ""Kubernetes"", ""Python"", ""React"", ""Remote Code Execution"", ""Software Engineer""]",7
proj_0007,Low-Latency Micro-Ledger,Low-Latency Micro-Ledger. High-throughput audit transaction engine with cryptographic proofs.. Role: Software Engineer.,"[""Docker"", ""PostgreSQL"", ""Rust""]","[""Cryptographic Proofs"", ""Software Engineer""]","[""Cryptographic Proofs"", ""Docker"", ""PostgreSQL"", ""Rust"", ""Software Engineer""]",5
proj_0008,Microservice Telemetry Mesh,Microservice Telemetry Mesh. Observability suite with metrics tracing and fault injection for web microservices.. Role: Software Engineer.,"[""Docker"", ""Go"", ""PostgreSQL"", ""Prometheus""]","[""Microservices"", ""Observability"", ""Software Engineer"", ""Telemetry""]","[""Docker"", ""Go"", ""Microservices"", ""Observability"", ""PostgreSQL"", ""Prometheus"", ""Software Engineer"", ""Telemetry""]",8
proj_0009,Realtime Collaborative IDE,Realtime Collaborative IDE. In-browser multi-user IDE supporting live operational transformation.. Role: Software Engineer.,"[""Node.js"", ""React"", ""TypeScript"", ""WebSockets""]","[""Operational Transformation"", ""Software Engineer""]","[""Node.js"", ""Operational Transformation"", ""React"", ""Software Engineer"", ""TypeScript"", ""WebSockets""]",6
proj_0010,Cloud Native Compiler Platform,Cloud Native Compiler Platform. Distributed remote code execution engine with container sandbox isolation.. Role: Software Engineer.,"[""Docker"", ""Kubernetes"", ""Python"", ""React""]","[""Container Sandbox"", ""Remote Code Execution"", ""Software Engineer""]","[""Container Sandbox"", ""Docker"", ""Kubernetes"", ""Python"", ""React"", ""Remote Code Execution"", ""Software Engineer""]",7
proj_0011,Peer-to-Peer Notes Sharing Network,Peer-to-Peer Notes Sharing Network. Decentralized file-sharing network for academic study materials.. Role: Full Stack Developer.,"[""MongoDB"", ""Node.js"", ""React""]","[""Full Stack Developer""]","[""Full Stack Developer"", ""MongoDB"", ""Node.js"", ""React""]",4
proj_0012,Campus Smart Resource Portal,"Campus Smart Resource Portal. Centralized platform for equipment booking, library tracking, and hall scheduling.. Role: Full Stack Developer.","[""Express.js"", ""MongoDB"", ""Node.js"", ""React""]","[""Full Stack Developer""]","[""Express.js"", ""Full Stack Developer"", ""MongoDB"", ""Node.js"", ""React""]",5
proj_0013,Peer-to-Peer Notes Sharing Network,Peer-to-Peer Notes Sharing Network. Decentralized file-sharing network for academic study materials.. Role: Full Stack Developer.,"[""MongoDB"", ""Node.js"", ""React""]","[""Full Stack Developer""]","[""Full Stack Developer"", ""MongoDB"", ""Node.js"", ""React""]",4
proj_0014,Financial Fraud Detector,Financial Fraud Detector. Real-time stream transaction anomaly classification using ensemble models.. Role: Data Scientist.,"[""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]","[""Data Scientist""]","[""Data Scientist"", ""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]",5
proj_0015,Automated Medical Image Classifier,Automated Medical Image Classifier. Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets.. Role: Data Scientist.,"[""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]","[""Data Scientist""]","[""Data Scientist"", ""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]",5
proj_0016,Financial Fraud Detector,Financial Fraud Detector. Real-time stream transaction anomaly classification using ensemble models.. Role: Data Scientist.,"[""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]","[""Data Scientist""]","[""Data Scientist"", ""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]",5
proj_0017,Automated Medical Image Classifier,Automated Medical Image Classifier. Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets.. Role: Data Scientist.,"[""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]","[""Data Scientist""]","[""Data Scientist"", ""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]",5
proj_0018,Customer Churn Predictive Pipeline,Customer Churn Predictive Pipeline. End-to-end data pipeline feeding retention forecasters.. Role: Data Scientist.,"[""Python"", ""R"", ""SQL"", ""Tableau""]","[""Data Scientist""]","[""Data Scientist"", ""Python"", ""R"", ""SQL"", ""Tableau""]",5
proj_0019,Automated Medical Image Classifier,Automated Medical Image Classifier. Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets.. Role: Data Scientist.,"[""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]","[""Data Scientist""]","[""Data Scientist"", ""FastAPI"", ""OpenCV"", ""PyTorch"", ""Python""]",5
proj_0020,Customer Churn Predictive Pipeline,Customer Churn Predictive Pipeline. End-to-end data pipeline feeding retention forecasters.. Role: Data Scientist.,"[""Python"", ""R"", ""SQL"", ""Tableau""]","[""Data Scientist""]","[""Data Scientist"", ""Python"", ""R"", ""SQL"", ""Tableau""]",5
proj_0021,Financial Fraud Detector,Financial Fraud Detector. Real-time stream transaction anomaly classification using ensemble models.. Role: Data Scientist.,"[""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]","[""Data Scientist""]","[""Data Scientist"", ""Pandas"", ""Python"", ""SQL"", ""Scikit-Learn""]",5
proj_0022,Agentic Research Assistant,Agentic Research Assistant. Autonomous multi-agent system summarizing research papers into structured graphs.. Role: AI Engineer.,"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",[],"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",5
proj_0023,Local Multi-Modal RAG Engine,Local Multi-Modal RAG Engine. Privacy-focused document Q&A runner using local quantized LLMs.. Role: AI Engineer.,"[""HuggingFace"", ""LlamaIndex"", ""Python"", ""Vector Embeddings""]","[""RAG""]","[""HuggingFace"", ""LlamaIndex"", ""Python"", ""RAG"", ""Vector Embeddings""]",5
proj_0024,Agentic Research Assistant,Agentic Research Assistant. Autonomous multi-agent system summarizing research papers into structured graphs.. Role: AI Engineer.,"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",[],"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",5
proj_0025,Neural Code Refactoring Agent,Neural Code Refactoring Agent. Autonomous code cleanup tool using fine-tuned transformer architectures.. Role: AI Engineer.,"[""FastAPI"", ""Prompt Engineering"", ""PyTorch"", ""Python""]",[],"[""FastAPI"", ""Prompt Engineering"", ""PyTorch"", ""Python""]",4
proj_0026,Local Multi-Modal RAG Engine,Local Multi-Modal RAG Engine. Privacy-focused document Q&A runner using local quantized LLMs.. Role: AI Engineer.,"[""HuggingFace"", ""LlamaIndex"", ""Python"", ""Vector Embeddings""]","[""RAG""]","[""HuggingFace"", ""LlamaIndex"", ""Python"", ""RAG"", ""Vector Embeddings""]",5
proj_0027,Neural Code Refactoring Agent,Neural Code Refactoring Agent. Autonomous code cleanup tool using fine-tuned transformer architectures.. Role: AI Engineer.,"[""FastAPI"", ""Prompt Engineering"", ""PyTorch"", ""Python""]",[],"[""FastAPI"", ""Prompt Engineering"", ""PyTorch"", ""Python""]",4
proj_0028,Agentic Research Assistant,Agentic Research Assistant. Autonomous multi-agent system summarizing research papers into structured graphs.. Role: AI Engineer.,"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",[],"[""Agentic AI"", ""CrewAI"", ""LangChain"", ""Python"", ""RAG""]",5
proj_0029,Local Multi-Modal RAG Engine,Local Multi-Modal RAG Engine. Privacy-focused document Q&A runner using local quantized LLMs.. Role: AI Engineer.,"[""HuggingFace"", ""LlamaIndex"", ""Python"", ""Vector Embeddings""]","[""RAG""]","[""HuggingFace"", ""LlamaIndex"", ""Python"", ""RAG"", ""Vector Embeddings""]",5
proj_0030,SDR Ground Station Decoder,SDR Ground Station Decoder. Software defined radio receiver tracking weather satellites in orbit.. Role: Embedded Engineer.,"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",[],"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",4
proj_0031,LoRaWAN Mesh Weather Array,LoRaWAN Mesh Weather Array. Long-range distributed environmental sensor node mesh for agriculture.. Role: Embedded Engineer.,"[""Arduino"", ""C++"", ""ESP32"", ""PCB Design""]",[],"[""Arduino"", ""C++"", ""ESP32"", ""PCB Design""]",4
proj_0032,Smart ECG Telemetry Patch,Smart ECG Telemetry Patch. Low-power wearable biosensor broadcasting real-time arrhythmia warnings.. Role: Embedded Engineer.,"[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32""]","[""Telemetry""]","[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32"", ""Telemetry""]",5
proj_0033,Smart ECG Telemetry Patch,Smart ECG Telemetry Patch. Low-power wearable biosensor broadcasting real-time arrhythmia warnings.. Role: Embedded Engineer.,"[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32""]","[""Telemetry""]","[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32"", ""Telemetry""]",5
proj_0034,SDR Ground Station Decoder,SDR Ground Station Decoder. Software defined radio receiver tracking weather satellites in orbit.. Role: Embedded Engineer.,"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",[],"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",4
proj_0035,LoRaWAN Mesh Weather Array,LoRaWAN Mesh Weather Array. Long-range distributed environmental sensor node mesh for agriculture.. Role: Embedded Engineer.,"[""Arduino"", ""C++"", ""ESP32"", ""PCB Design""]",[],"[""Arduino"", ""C++"", ""ESP32"", ""PCB Design""]",4
proj_0036,SDR Ground Station Decoder,SDR Ground Station Decoder. Software defined radio receiver tracking weather satellites in orbit.. Role: Embedded Engineer.,"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",[],"[""C++"", ""FPGA"", ""MATLAB"", ""Signal Processing""]",4
proj_0037,Smart ECG Telemetry Patch,Smart ECG Telemetry Patch. Low-power wearable biosensor broadcasting real-time arrhythmia warnings.. Role: Embedded Engineer.,"[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32""]","[""Telemetry""]","[""BLE"", ""Embedded C"", ""PCB Design"", ""STM32"", ""Telemetry""]",5
proj_0038,Microgrid Solar Power Inverter,Microgrid Solar Power Inverter. Grid-tied inverter with maximum power point tracking and SCADA monitoring.. Role: Electrical Systems Engineer.,"[""MATLAB"", ""PLC"", ""SCADA"", ""Simulink""]","[""SCADA""]","[""MATLAB"", ""PLC"", ""SCADA"", ""Simulink""]",4
proj_0039,Industrial Automation Conveyor Guard,Industrial Automation Conveyor Guard. Safety Interlock and speed regulator for heavy material handling.. Role: Electrical Systems Engineer.,"[""Control Systems"", ""LabVIEW"", ""PLC""]","[""Automation""]","[""Automation"", ""Control Systems"", ""LabVIEW"", ""PLC""]",4
proj_0040,EV Smart Charging Load Balancer,EV Smart Charging Load Balancer. Dynamic load distribution controller preventing sub-station overloads.. Role: Electrical Systems Engineer.,"[""PLC"", ""Power Electronics"", ""Siemens TIA Portal""]",[],"[""PLC"", ""Power Electronics"", ""Siemens TIA Portal""]",3
proj_0041,Industrial Automation Conveyor Guard,Industrial Automation Conveyor Guard. Safety Interlock and speed regulator for heavy material handling.. Role: Electrical Systems Engineer.,"[""Control Systems"", ""LabVIEW"", ""PLC""]","[""Automation""]","[""Automation"", ""Control Systems"", ""LabVIEW"", ""PLC""]",4
proj_0042,Microgrid Solar Power Inverter,Microgrid Solar Power Inverter. Grid-tied inverter with maximum power point tracking and SCADA monitoring.. Role: Electrical Systems Engineer.,"[""MATLAB"", ""PLC"", ""SCADA"", ""Simulink""]","[""SCADA""]","[""MATLAB"", ""PLC"", ""SCADA"", ""Simulink""]",4
proj_0043,EV Smart Charging Load Balancer,EV Smart Charging Load Balancer. Dynamic load distribution controller preventing sub-station overloads.. Role: Electrical Systems Engineer.,"[""PLC"", ""Power Electronics"", ""Siemens TIA Portal""]",[],"[""PLC"", ""Power Electronics"", ""Siemens TIA Portal""]",3
proj_0044,Generative Drone Frame Assembly,Generative Drone Frame Assembly. Weight-minimized carbon composite arm joint created via generative CAD.. Role: CAD Engineer.,"[""CATIA"", ""Creo"", ""GD&T""]",[],"[""CATIA"", ""Creo"", ""GD&T""]",3
proj_0045,Autonomous Agricultural Rover Chassis,Autonomous Agricultural Rover Chassis. Lightweight FEA-optimized structural frame for field robotics.. Role: CAD Engineer.,"[""3D Printing"", ""ANSYS"", ""FEA"", ""SolidWorks""]","[""FEA""]","[""3D Printing"", ""ANSYS"", ""FEA"", ""SolidWorks""]",4
proj_0046,EV Battery Thermal Management System,EV Battery Thermal Management System. Liquid cooling plate design evaluated using computational fluid dynamics.. Role: CAD Engineer.,"[""CFD"", ""Fusion 360"", ""Heat Transfer"", ""Thermodynamics""]","[""Computational Fluid Dynamics""]","[""CFD"", ""Computational Fluid Dynamics"", ""Fusion 360"", ""Heat Transfer"", ""Thermodynamics""]",5
proj_0047,Generative Drone Frame Assembly,Generative Drone Frame Assembly. Weight-minimized carbon composite arm joint created via generative CAD.. Role: CAD Engineer.,"[""CATIA"", ""Creo"", ""GD&T""]",[],"[""CATIA"", ""Creo"", ""GD&T""]",3
